[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:34] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:34] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:34] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:34] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:34] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:34] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:38] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:38] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:38] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:38] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:38] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "4" , "Sombra" , "EV_UsedAbility_1" , "" , ""
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:40] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:43] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:44] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:44] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:44] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:44] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:44] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:45] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:45] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
